Date,Type,Link
2021-01-26 05:30:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6757795961130618880
2021-01-17 01:40:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6756382913597714432
2020-12-24 13:13:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6747838917409689600
2020-12-01 15:37:20,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6739534095107309568
2020-11-15 09:36:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6732775075059113984
2020-11-15 09:35:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6732559725843632128
2020-11-15 09:34:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6731510074960867328
2020-11-15 09:34:25,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6733586403487297536
2020-11-08 16:18:59,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6727690143718768641
2020-11-08 16:16:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6730904301838893056
2020-10-27 02:34:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6726415497681793024
2020-10-22 22:55:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6724980236502519810
2020-10-22 22:55:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6723212213185863680
2020-10-20 10:28:22,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6723060617017606144
2020-10-20 10:28:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6723460800930967552
2020-10-16 02:57:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6722469056676462592
2020-10-14 12:31:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6721939888062660608
2020-10-14 12:28:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6720724746486460416
2020-10-14 12:26:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6720358074550390784
